,Category,Accelerometer,Gyroscope,Magnetometer,Duration
0,CLIMBING,"[[0.7330500483512878, 0.4930500090122223, 10.044000625610352], [-1.0950000286102295, 0.361050009727478, 12.769050598144531], [-2.2829999923706055, -0.3660000264644623, 13.851000785827637], [-1.0669500827789307, -0.6360000371932983, 11.404050827026367], [-0.5230500102043152, -0.4710000157356262, 9.295050621032715], [-0.45600003004074097, -0.10005000233650208, 8.860950469970703], [1.2829500436782837, -0.3559500277042389, 9.445050239562988], [1.6279500722885132, 0.26100000739097595, 10.564050674438477], [1.9320000410079956, 0.08400000631809235, 10.963050842285156], [0.9070500135421753, -0.3060000240802765, 10.968000411987305], [0.8719500303268433, -0.7219500541687012, 9.582000732421875], [1.1470500230789185, -1.6680001020431519, 7.695000171661377], [-0.7030500173568726, -1.725000023841858, 6.349950313568115], [-2.266050100326538, -1.0860000848770142, 4.944000244140625], [0.3540000021457672, -0.6030000448226929, 4.755000114440918], [3.5050501823425293, -0.6600000262260437, 6.544050216674805], [2.751000165939331, -0.12405000627040863, 10.207050323486328], [0.9100500345230103, 0.19095000624656677, 13.273950576782227], [1.50600004196167, -0.19095000624656677, 14.611950874328613], [2.650050163269043, -0.1570500135421753, 14.326951026916504], [3.6919500827789307, -0.2770500183105469, 13.543951034545898], [3.42900013923645, -0.5089499950408936, 12.63705062866211], [1.1209501028060913, -0.43995001912117004, 11.370000839233398], [-0.07800000160932541, -0.08295000344514847, 9.579000473022461], [-0.43695002794265747, 0.28200000524520874, 7.4410505294799805], [0.559950053691864, 0.9979500770568848, 5.812950134277344], [2.3560500144958496, 1.467000126838684, 5.581050395965576], [1.7170500755310059, 2.325000047683716, 6.658950328826904], [0.49995002150535583, 2.968950033187866, 8.035050392150879], [0.5290500521659851, 2.8320000171661377, 8.7649507522583], [0.04305000230669975, 2.6050500869750977, 8.002050399780273], [0.364050030708313, 2.004000186920166, 6.910050392150879], [0.18195000290870667, 1.924950122833252, 6.402000427246094], [-0.33195000886917114, 2.061000108718872, 8.074049949645996], [-0.9880500435829163, 2.359950065612793, 10.729050636291504], [-1.1389501094818115, 1.6710001230239868, 13.561050415039062], [-1.366050124168396, 1.390950083732605, 15.202950477600098], [-1.5769500732421875, 0.8020500540733337, 14.79900074005127], [-0.8509500622749329, 0.43095001578330994, 12.414000511169434], [0.283050000667572, 0.286950021982193, 9.397950172424316], [1.3290001153945923, 0.1980000138282776, 8.46405029296875], [1.4250000715255737, 0.025950001552700996, 8.935050010681152], [1.1400001049041748, 0.16995000839233398, 8.131050109863281], [1.76895010471344, 0.004950000438839197, 8.19105052947998], [1.8649500608444214, -0.2530499994754791, 8.542950630187988], [0.5029500126838684, -0.13305000960826874, 8.056950569152832], [-0.1860000044107437, 0.1579500138759613, 6.931950092315674], [1.599000096321106, -0.0019500000635161996, 7.71405029296875], [1.5370501279830933, -0.28905001282691956, 10.000950813293457], [-0.10905000567436218, -0.009000000543892384, 11.47605037689209], [0.2989500164985657, -0.1789500117301941, 12.642000198364258], [0.48900002241134644, -0.38700002431869507, 13.551000595092773], [-0.7939500212669373, -0.27195000648498535, 13.777050971984863], [-0.8080500364303589, -0.5879999995231628, 12.256050109863281], [-0.1860000044107437, -1.5360000133514404, 10.120950698852539], [0.05295000225305557, -1.065000057220459, 8.188050270080566], [1.4749500751495361, -1.2559500932693481, 7.506000518798828], [1.1899501085281372, -0.7410000562667847, 7.935000419616699], [0.41700002551078796, 0.0499500036239624, 8.800950050354004], [-0.043950002640485764, 0.4039500057697296, 9.5910005569458], [1.0369499921798706, -0.1360500007867813, 9.117000579833984], [1.1680500507354736, -0.034950003027915955, 8.812950134277344], [0.34005001187324524, 0.25095000863075256, 8.988000869750977], [0.7540500164031982, 0.28905001282691956, 10.008000373840332], [1.7020500898361206, -0.13095000386238098, 11.053950309753418], [1.6260000467300415, 0.0070500001311302185, 11.002050399780273], [1.3549500703811646, 0.20100000500679016, 10.08495044708252], [1.6309500932693481, -0.37005001306533813, 9.86400032043457], [1.3380000591278076, -0.5590500235557556, 9.87405014038086], [1.6540501117706299, -0.7339500188827515, 9.661050796508789], [2.1739501953125, -0.8010000586509705, 9.096000671386719], [2.1409502029418945, -0.7870500087738037, 8.160000801086426], [1.2520500421524048, -0.20805001258850098, 7.7310004234313965], [0.7159500122070312, 0.15495000779628754, 8.296050071716309], [0.6030000448226929, 0.028050001710653305, 9.57705020904541], [1.1759999990463257, -0.5430000424385071, 10.44105052947998], [2.233950138092041, -1.0980000495910645, 10.654050827026367], [2.464050054550171, -1.3470001220703125, 10.434000968933105], [2.521050214767456, -1.612950086593628, 10.228050231933594], [2.052000045776367, -1.3230000734329224, 10.240050315856934], [1.207050085067749, -0.598050057888031, 10.372050285339355], [1.9030500650405884, -0.2550000250339508, 9.895950317382812], [1.7290500402450562, -0.361050009727478, 9.088950157165527], [1.2619500160217285, -0.1570500135421753, 8.863950729370117], [0.41700002551078796, -0.12405000627040863, 9.117000579833984], [0.7279500365257263, -0.21705001592636108, 10.044000625610352], [1.1610000133514404, -0.9690000414848328, 10.630950927734375], [1.683000087738037, -1.4190000295639038, 10.567950248718262], [2.3269500732421875, -1.5870001316070557, 10.312050819396973], [2.69100022315979, -1.6849501132965088, 10.530000686645508], [1.9560000896453857, -1.5670500993728638, 9.8860502243042], [1.981950044631958, -0.9949500560760498, 8.855999946594238]]","[[0.5670499801635742, -0.09542500227689743, 0.1190750002861023], [0.8131750226020813, -0.18067499995231628, -0.06201250106096268], [1.0155750513076782, -0.34581249952316284, -0.28792500495910645], [1.2265000343322754, -0.5024250149726868, -0.2633124887943268], [1.3393875360488892, -0.4959625005722046, -0.15262499451637268], [1.1998250484466553, -0.31913748383522034, 0.011412499472498894], [0.7768750190734863, -0.018837500363588333, 0.14891250431537628], [0.2591874897480011, 0.21559999883174896, -0.020487500354647636], [-0.15729999542236328, 0.3114374876022339, -0.17393749952316284], [-0.1732500046491623, 0.4904625117778778, -0.15358750522136688], [0.014162499457597733, 0.5255249738693237, -0.18136249482631683], [0.08882500231266022, 0.6309875249862671, -0.1270499974489212], [-0.09019999951124191, 0.7151374816894531, -0.13983750343322754], [-0.527999997138977, 0.7781124711036682, -0.15895000100135803], [-1.136299967765808, 0.5266249775886536, -0.13227500021457672], [-1.459012508392334, 0.42006251215934753, -0.029012499377131462], [-1.1724624633789062, 0.39448750019073486, 0.0317624993622303], [-0.4449499845504761, 0.1143999993801117, 0.18617500364780426], [0.12278749793767929, -0.5993624925613403, 0.5142499804496765], [0.39668750762939453, -1.1906124353408813, 0.6890124678611755], [0.3465000092983246, -0.8071249723434448, 0.5963374972343445], [-0.0028874999843537807, -0.24034999310970306, 0.31404998898506165], [-0.060362499207258224, 0.043037500232458115, 0.0966624990105629], [-0.22550000250339508, -0.05609999969601631, 0.08717499673366547], [-0.22659999132156372, -0.06558749824762344, 0.013612499460577965], [-0.016637500375509262, -0.010312499478459358, -0.17063750326633453], [0.11756250262260437, -0.06668750196695328, -0.17393749952316284], [-0.19030000269412994, 0.03451250120997429, 0.008249999955296516], [-0.767662525177002, 0.13144999742507935, -0.11316250264644623], [-0.9913749694824219, -0.00494999997317791, -0.28888750076293945], [-0.896637499332428, -0.017737500369548798, -0.10683749616146088], [-0.740024983882904, 0.08566249907016754, -0.02474999986588955], [-0.42143750190734863, 0.15702499449253082, -0.12911249697208405], [0.0845625028014183, -0.026262499392032623, -0.04179999977350235], [0.5937250256538391, -0.19139999151229858, 0.14781250059604645], [0.7534999847412109, -0.38843750953674316, 0.2149125039577484], [0.7108749747276306, -0.23718750476837158, 0.342787504196167], [0.4371125102043152, -0.2147749960422516, 0.23512500524520874], [0.030112499371170998, -0.4800125062465668, 0.13186250627040863], [-0.1424500048160553, -0.5226374864578247, 0.20954999327659607], [-0.05403750017285347, -0.390500009059906, 0.4076874852180481], [0.01952499896287918, -0.09116250276565552, 0.3353624939918518], [-0.19786250591278076, -0.1551000028848648, 0.26922500133514404], [-0.45883750915527344, -0.24997499585151672, 0.40136250853538513], [-0.5205749869346619, -0.2190375030040741, 0.4375250041484833], [-0.20212499797344208, -0.014574999921023846, 0.33316248655319214], [0.13557499647140503, 0.10161250084638596, 0.27994999289512634], [0.10477499663829803, 0.004674999974668026, 0.39393749833106995], [-0.04647500067949295, -0.30855000019073486, 0.4525125026702881], [0.013062499463558197, -0.5673249959945679, 0.5590749979019165], [0.13461250066757202, -0.5993624925613403, 0.5824499726295471], [0.2623499929904938, -0.31597501039505005, 0.4525125026702881], [0.195250004529953, -0.008112499490380287, 0.296999990940094], [-0.18081249296665192, 0.043037500232458115, 0.34485000371932983], [-0.6026625037193298, -0.11357499659061432, 0.5344625115394592], [-0.7613375186920166, -0.3361875116825104, 0.6964374780654907], [-0.49293750524520874, -0.33934998512268066, 0.7581750154495239], [-0.27871251106262207, -0.3372874855995178, 0.6356624960899353], [-0.22866250574588776, -0.2690874934196472, 0.45883750915527344], [-0.15303750336170197, -0.17215000092983246, 0.26826250553131104], [-0.10518749803304672, -0.21051250398159027, 0.17132499814033508], [0.07383749634027481, -0.28833749890327454, 0.3544749915599823], [0.3550249934196472, -0.05389999970793724, 0.21381250023841858], [0.48083749413490295, 0.3199625015258789, 0.08181250095367432], [0.3592875003814697, 0.3614875078201294, 0.05087500065565109], [0.14313749969005585, 0.2923249900341034, 0.2586374878883362], [0.04399999976158142, 0.08566249907016754, 0.46956250071525574], [0.02694999985396862, -0.07631249725818634, 0.5889124870300293], [-0.009212499484419823, -0.27761250734329224, 0.5889124870300293], [-0.0625625029206276, -0.23292499780654907, 0.4641999900341034], [-0.02199999988079071, -0.3031874895095825, 0.2777499854564667], [0.12072499841451645, -0.22756250202655792, 0.2287999987602234], [0.171875, -0.24777500331401825, 0.23842500150203705]]","[[-129.78750610351562, 333.7125244140625, 301.2562561035156], [-127.01250457763672, 290.5875244140625, 267.4875183105469], [-121.31250762939453, 246.65626525878906, 232.08750915527344], [-117.60000610351562, 206.04376220703125, 197.21250915527344], [-115.38750457763672, 177.1125030517578, 164.10000610351562], [-114.7125015258789, 156.90000915527344, 122.15625762939453], [-107.2125015258789, 139.25625610351562, 81.84375]]",2
1,CLIMBING,"[[-0.3169500231742859, 1.4239500761032104, 12.984000205993652], [-0.8149500489234924, -0.09300000220537186, 9.86400032043457], [-0.33195000886917114, -1.1050500869750977, 9.262950897216797], [0.7090500593185425, -0.5790000557899475, 9.738000869750977], [-1.4110500812530518, -0.04200000315904617, 10.233000755310059], [-5.782950401306152, -0.4900500178337097, 9.406949996948242], [-6.078000068664551, 0.016950000077486038, 8.136000633239746], [-2.1820499897003174, 1.4310001134872437, 8.623950004577637], [-0.40800002217292786, 2.3989500999450684, 9.34005069732666], [-2.937000036239624, 3.637050151824951, 8.770050048828125], [-2.6950502395629883, 4.015050411224365, 7.888950347900391], [0.8020500540733337, 4.306950092315674, 7.783950328826904], [2.8249502182006836, 3.868950128555298, 10.92300033569336], [-0.4540500342845917, 3.0670502185821533, 12.642000198364258], [-2.2729501724243164, 2.490000009536743, 10.870050430297852], [-1.2250500917434692, 1.8649500608444214, 9.354000091552734], [0.5029500126838684, 0.7540500164031982, 9.991050720214844], [-0.934950053691864, 0.4429500102996826, 10.824000358581543], [-1.3900500535964966, 0.7780500650405884, 9.855000495910645], [-0.9330000281333923, 0.6769500374794006, 8.086050033569336], [-0.17100000381469727, 0.4549500346183777, 7.6210503578186035], [0.36195001006126404, 0.7180500626564026, 8.878050804138184], [0.2160000056028366, 1.0600500106811523, 10.312050819396973], [-0.14505000412464142, 1.3240500688552856, 10.851000785827637], [-0.19500000774860382, 1.3960500955581665, 10.269000053405762], [-0.11595000326633453, 1.4220000505447388, 9.271050453186035], [0.12495000660419464, 1.420050024986267, 8.866050720214844], [-0.08700000494718552, 1.1470500230789185, 9.382950782775879], [-0.17805001139640808, 0.8160000443458557, 9.675000190734863], [-0.5179499983787537, 0.7300500273704529, 9.831000328063965], [-0.5470499992370605, 0.2659500241279602, 9.666000366210938], [-0.46095001697540283, 0.13905000686645508, 9.502950668334961], [-0.6670500040054321, 0.24195000529289246, 9.430950164794922], [-1.0360500812530518, 0.7399500608444214, 9.670050621032715], [-0.8130000233650208, 0.7060500383377075, 9.790050506591797], [-0.3840000033378601, 0.5959500074386597, 9.802050590515137], [0.6109500527381897, 0.22500000894069672, 10.039050102233887], [0.5029500126838684, 0.35895001888275146, 10.627950668334961], [-0.49695003032684326, 0.853950023651123, 10.801050186157227], [-0.42705002427101135, 1.2540000677108765, 10.164000511169434], [0.32100000977516174, 0.9019500613212585, 9.568050384521484], [0.62295001745224, 0.6250500082969666, 9.594000816345215], [0.1770000010728836, 0.7489500641822815, 9.963000297546387], [-0.33900001645088196, 0.7680000066757202, 9.691950798034668], [-0.4320000112056732, 0.7849500179290771, 9.280050277709961], [-0.2740500271320343, 0.6940500140190125, 9.058050155639648], [-0.4159500300884247, 0.853950023651123, 8.77695083618164], [-0.6379500031471252, 0.8590500354766846, 8.907000541687012], [-0.625950038433075, 0.6940500140190125, 9.27495002746582], [-0.41805002093315125, 0.6559500098228455, 9.56505012512207], [-0.46605002880096436, 0.673050045967102, 9.90000057220459], [-0.46800002455711365, 0.8899500370025635, 10.221000671386719], [-0.33900001645088196, 1.0410000085830688, 10.44105052947998], [-0.15495000779628754, 1.1149500608444214, 10.408050537109375], [0.022050000727176666, 0.9720000624656677, 9.963000297546387], [-0.1380000114440918, 0.9240000247955322, 9.424050331115723], [0.18000000715255737, 0.9070500135421753, 9.201000213623047], [0.4909500181674957, 0.8520000576972961, 9.532050132751465], [0.4330500066280365, 0.8230500221252441, 9.87600040435791], [0.37095001339912415, 0.7870500087738037, 9.610950469970703], [0.28995001316070557, 0.6079500317573547, 9.02595043182373], [0.025950001552700996, 0.361050009727478, 9.01395034790039], [-0.21900001168251038, 0.4830000102519989, 9.250950813293457], [-0.15495000779628754, 0.6319500207901001, 9.442950248718262], [0.028950002044439316, 0.5410500168800354, 9.723000526428223], [-0.10695000737905502, 0.27300000190734863, 10.05405044555664], [-0.4849500358104706, 0.6289500594139099, 10.09695053100586], [-0.4630500078201294, 0.6510000228881836, 9.699000358581543], [0.25905001163482666, 0.9139500260353088, 10.08495044708252], [0.5989500284194946, 0.673050045967102, 10.90095043182373], [0.5959500074386597, 0.32505002617836, 11.064000129699707], [0.47700002789497375, 0.1290000081062317, 10.294950485229492], [0.4620000123977661, 0.2440500110387802, 9.47700023651123], [0.5869500041007996, 0.1579500138759613, 9.160950660705566], [0.2850000262260437, 0.6529500484466553, 9.129000663757324], [-0.17805001139640808, 0.9360000491142273, 8.679000854492188], [-0.004050000105053186, 0.7729500532150269, 8.45205020904541], [0.06495000422000885, 0.6079500317573547, 9.337950706481934], [0.1680000126361847, 0.6150000095367432, 10.384050369262695], [0.08100000023841858, 0.7110000252723694, 10.771950721740723], [-0.3439500033855438, 0.831000030040741, 10.549050331115723], [-0.47505003213882446, 0.7540500164031982, 10.045950889587402], [-0.17595000565052032, 0.8860500454902649, 9.409950256347656], [-0.14295001327991486, 0.8689500689506531, 8.971050262451172], [-0.1189500093460083, 1.0290000438690186, 9.169950485229492], [-0.6310500502586365, 1.3759500980377197, 9.64905071258545], [-0.25005000829696655, 1.603950023651123, 9.571950912475586], [0.661050021648407, 1.4269500970840454, 9.448050498962402], [0.4650000333786011, 1.3429501056671143, 9.661050796508789], [0.10095000267028809, 0.9529500603675842, 9.879000663757324], [0.4410000145435333, 0.4620000123977661, 10.089000701904297], [-0.08700000494718552, 0.1270500123500824, 10.0420503616333], [-0.9109500646591187, 0.42795002460479736, 9.739950180053711], [-0.6760500073432922, 0.47895002365112305, 9.145950317382812], [0.31905001401901245, -0.021000001579523087, 8.380050659179688], [0.37800002098083496, 0.07200000435113907, 8.706000328063965], [1.0630500316619873, 0.1099500060081482, 9.56505012512207], [2.751000165939331, -0.022950001060962677, 9.718050003051758], [2.959050178527832, -0.33900001645088196, 9.249000549316406], [1.0660500526428223, -0.08295000344514847, 8.77500057220459]]","[[0.1942874938249588, -0.2116124927997589, 0.27678748965263367], [-0.19676250219345093, -0.17104999721050262, 0.2820124924182892], [-0.367125004529953, -0.17641249299049377, 0.13722500205039978], [-0.22550000250339508, -0.14767499268054962, 0.017875000834465027], [0.02488750033080578, -0.1093124970793724, 0.0317624993622303], [0.1494625061750412, -0.08167500048875809, 0.04661250114440918], [0.06324999779462814, -0.062424998730421066, 0.06476250290870667], [-0.07961250096559525, -0.04647500067949295, 0.017875000834465027], [-0.11687500029802322, -0.04331250116229057, 0.015675000846385956], [-0.08483749628067017, -0.045375000685453415, 0.017875000834465027], [-0.05926249921321869, -0.060362499207258224, 0.06366249918937683], [-0.06572499871253967, -0.03368749842047691, 0.07864999771118164], [-0.09239999949932098, -0.009212499484419823, 0.04977500066161156], [-0.15619999170303345, -0.010312499478459358, 0.04881250113248825], [-0.21587499976158142, 0.03135000169277191, 0.1457500010728836], [-0.2190375030040741, 0.07603749632835388, 0.24584999680519104], [-0.23608750104904175, 0.05362499877810478, 0.306487500667572], [-0.2488749921321869, -0.014574999921023846, 0.19676250219345093], [-0.18933749198913574, -0.10395000129938126, 0.0668250024318695], [-0.02736249938607216, -0.11893749982118607, 0.1307625025510788], [0.05678749829530716, -0.1093124970793724, 0.22343750298023224], [0.03973750025033951, -0.10615000128746033, 0.18411250412464142], [0.016362499445676804, -0.11151249706745148, 0.060499999672174454], [0.10999999940395355, -0.16046249866485596, -0.020487500354647636], [0.21119999885559082, -0.1326874941587448, -0.015124999918043613], [0.19744999706745148, -0.045375000685453415, 0.013612499460577965], [0.17820000648498535, 0.008937500417232513, 0.015675000846385956], [0.07919999957084656, -0.0006874999962747097, 0.017875000834465027], [-0.01347499992698431, 0.03135000169277191, 0.01993750035762787], [-0.05926249921321869, 0.05692499876022339, 0.04455000162124634], [-0.10408750176429749, 0.0845625028014183, 0.04028749838471413], [-0.11687500029802322, 0.028049999848008156, 0.055137500166893005], [-0.10615000128746033, -0.04963750019669533, 0.09886249899864197], [-0.052937500178813934, -0.09116250276565552, 0.1307625025510788], [0.04399999976158142, -0.09652499854564667, 0.1424500048160553], [0.09831249713897705, -0.09336250275373459, 0.12870000302791595], [0.055687498301267624, -0.06888750195503235, 0.15633749961853027], [-0.0518375001847744, -0.1050499975681305, 0.17874999344348907], [-0.09239999949932098, -0.11577499657869339, 0.15001249313354492], [0.006737499963492155, -0.08057499676942825, 0.10628750175237656], [0.1153625026345253, -0.05073750019073486, 0.08071249723434448], [0.06531249731779099, -0.02722499892115593, 0.028462499380111694], [-0.03368749842047691, 0.0035749999806284904, -0.007699999958276749], [-0.08057499676942825, 0.07603749632835388, -0.010862499475479126], [-0.0859375, 0.1069749966263771, -0.008799999952316284], [-0.09129999577999115, 0.06435000151395798, -0.029012499377131462], [-0.09019999951124191, 0.025987500324845314, -0.040699999779462814], [-0.0625625029206276, -0.00494999997317791, 0.0147124994546175], [-0.15619999170303345, 0.02914999984204769, 0.1083500012755394], [-0.23182499408721924, -0.045375000685453415, 0.13722500205039978], [-0.11577499657869339, -0.13598750531673431, 0.10628750175237656], [0.0845625028014183, -0.1849374920129776, 0.07961250096559525], [0.18782499432563782, -0.1732500046491623, 0.028462499380111694], [0.15056249499320984, -0.12209999561309814, -0.023649999871850014], [0.10793749988079071, -0.05609999969601631, -0.1237500011920929], [0.15262499451637268, -0.022962499409914017, -0.1845249980688095], [0.11426249891519547, 0.045099999755620956, -0.1387374997138977], [-0.07741250097751617, 0.08566249907016754, -0.11426249891519547], [-0.18507499992847443, 0.11219999939203262, -0.11316250264644623], [-0.08277499675750732, 0.08882500231266022, -0.12484999746084213], [0.09831249713897705, -0.025162499397993088, -0.1313125044107437], [0.2410375028848648, -0.07411249727010727, -0.05142499879002571], [0.2890250086784363, -0.04647500067949295, 0.045512501150369644], [0.20061250030994415, -0.020899999886751175, 0.07644999772310257], [0.04193750023841858, 0.014299999922513962, 0.05829999968409538], [-0.05926249921321869, -0.002749999985098839, 0.045512501150369644], [-0.04331250116229057, 0.02914999984204769, 0.12113749980926514], [-0.006049999967217445, 0.06861250102519989, 0.20954999327659607], [-0.025162499397993088, 0.02488750033080578, 0.13392500579357147], [-0.04221250116825104, 0.01952499896287918, 0.04977500066161156], [-0.09872499853372574, 0.016362499445676804, 0.06366249918937683], [-0.2872374951839447, -0.2116124927997589, 0.005087499972432852], [-0.36506250500679016, -0.40012499690055847, -0.040699999779462814], [-0.2616625130176544, -0.4384874999523163, 0.0317624993622303], [-0.17971250414848328, -0.4362874925136566, 0.08291249722242355], [-0.25423750281333923, -0.2755500078201294, -0.05664999783039093], [-0.4545750021934509, -0.284074991941452, -0.13557499647140503], [-0.3937999904155731, -0.37248748540878296, -0.09404999762773514], [-0.11893749982118607, -0.22536249458789825, -0.18672500550746918], [-0.012374999932944775, -0.1434125006198883, -0.4423374831676483], [-0.3778499960899353, -0.2722499966621399, -0.3848625123500824], [-0.8806874752044678, -0.17104999721050262, -0.38266250491142273], [-0.850849986076355, -0.1391499936580658, -0.3049750030040741], [-0.1615625023841858, -0.39160001277923584, 0.036024998873472214], [0.2400749921798706, -0.3606624901294708, 0.1457500010728836], [0.1377750039100647, -0.16788749396800995, 0.1989624947309494], [-0.21697500348091125, -0.06668750196695328, 0.34911251068115234], [-0.5024250149726868, 0.01952499896287918, 0.22659999132156372], [-0.403425008058548, 0.1601874977350235, 0.12870000302791595], [-0.028462499380111694, 0.4797374904155731, -0.04179999977350235], [0.44247499108314514, 0.4595249891281128, -0.018287500366568565], [0.8567624688148499, 0.3583250045776367, 0.05829999968409538], [0.9622250199317932, 0.26881250739097595, -0.042899999767541885], [0.8749125003814697, 0.062150001525878906, 0.053075000643730164], [0.5181000232696533, 0.1036750003695488, 0.4758875072002411], [-0.25533750653266907, 0.13997499644756317, 0.6591749787330627], [-0.9179499745368958, 0.25712499022483826, 0.3363249897956848], [-1.2821874618530273, -0.12319999933242798, 0.025299999862909317], [-0.8923749923706055, -0.40658751130104065, 0.12870000302791595], [-0.04867500066757202, -0.28187498450279236, 0.18837499618530273]]","[[39.84375, 63.95625305175781, 10.612500190734863], [45.35625076293945, 94.80000305175781, 59.88750076293945], [41.212501525878906, 144.65625, 116.81250762939453], [26.343751907348633, 197.21250915527344, 166.85626220703125], [6.487500190734863, 253.55625915527344, 218.34376525878906], [-17.64375114440918, 308.7562561035156, 267.6000061035156], [-38.587501525878906, 346.9875183105469, 307.85626220703125], [-60.900001525878906, 373.0875244140625, 334.5], [-92.8125, 373.0875244140625, 335.7562561035156], [-120.00000762939453, 369.3000183105469, 334.0875244140625]]",2
