,Unnamed: 0,Category,Accelerometer,Gyroscope,Magnetometer,Duration
156,156,WALKING,100,100,10,2
157,157,WALKING,100,100,10,2
158,158,WALKING,100,100,10,2
159,159,DOWNTIME,100,100,10,2
160,160,DOWNTIME,100,100,10,2
161,161,DOWNTIME,100,100,10,2
162,162,DOWNTIME,100,100,10,2
163,163,DOWNTIME,100,100,10,2
164,164,DOWNTIME,100,100,10,2
165,165,DOWNTIME,100,100,10,2
166,166,DOWNTIME,100,100,10,2
167,167,DOWNTIME,100,100,10,2
168,168,DOWNTIME,100,100,10,2
169,169,DOWNTIME,100,100,10,2
170,170,DOWNTIME,100,100,10,2
171,171,DOWNTIME,100,100,10,2
172,172,DOWNTIME,100,100,10,2
173,173,DOWNTIME,100,100,10,2
174,174,DOWNTIME,100,100,10,2
175,175,DOWNTIME,100,100,10,2
176,176,DOWNTIME,100,100,10,2
177,177,DOWNTIME,100,100,10,2
178,178,DOWNTIME,100,100,10,2
179,179,DOWNTIME,100,100,10,2
180,180,DOWNTIME,100,100,10,2
181,181,DOWNTIME,100,100,10,2
182,182,DOWNTIME,100,100,10,2
183,183,DOWNTIME,100,100,10,2
184,184,DOWNTIME,100,100,10,2
185,185,DOWNTIME,100,100,10,2
186,186,DOWNTIME,100,100,10,2
187,187,DOWNTIME,100,100,10,2
188,188,DOWNTIME,100,100,10,2
189,189,DOWNTIME,100,100,10,2
190,190,DOWNTIME,100,100,10,2
191,191,DOWNTIME,100,100,10,2
192,192,DOWNTIME,100,100,10,2
193,193,DOWNTIME,100,100,10,2
194,194,DOWNTIME,100,100,10,2
195,195,DOWNTIME,65,65,6,2
196,196,DOWNTIME,100,100,10,2
197,197,DOWNTIME,100,100,10,2
198,198,DOWNTIME,100,100,10,2
199,199,DOWNTIME,100,100,10,2
200,200,DOWNTIME,100,100,10,2
201,201,DOWNTIME,100,100,10,2
202,202,DOWNTIME,100,100,10,2
203,203,DOWNTIME,100,100,10,2
204,204,DOWNTIME,100,100,10,2
205,205,DOWNTIME,100,100,10,2
206,206,DOWNTIME,100,100,10,2
207,207,DOWNTIME,100,100,10,2
208,208,DOWNTIME,100,100,10,2
209,209,DOWNTIME,100,100,10,2
210,210,DOWNTIME,100,100,10,2
211,211,DOWNTIME,100,100,10,2
